Rk,Name,Team,Result,Date,Vs.,Pitch (MPH),EV (MPH),LA (deg),Dist (ft),gamePk,playId,Video_url,x/30 ballparks
39,"Ruiz, Keibert",WSH,Home Run,3/27/2025,PHI,96.1,99.2,33,371,778555,aa8fcc1e-71ac-34d5-a2ab-e86119f0845e,https://baseballsavant.mlb.com/sporty-videos?playId=aa8fcc1e-71ac-34d5-a2ab-e86119f0845e,28
40,"GimÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©nez, AndrÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©s",TOR,Home Run,3/27/2025,BAL,80,99,34,366,778556,39467690-15ca-383e-926e-b6ec92aabd75,https://baseballsavant.mlb.com/sporty-videos?playId=39467690-15ca-383e-926e-b6ec92aabd75,13
1,"Cruz, Oneil",PIT,Home Run,3/28/2025,MIA,81.2,115,22,381,778548,732fa0ee-537b-3424-8207-399d8d4065ae,https://baseballsavant.mlb.com/sporty-videos?playId=732fa0ee-537b-3424-8207-399d8d4065ae,29
2,"Tatis Jr., Fernando",SD,Home Run,3/28/2025,ATL,92.7,110.6,23,410,778542,68679008-e951-34c6-a333-524e81657c24,https://baseballsavant.mlb.com/sporty-videos?playId=68679008-e951-34c6-a333-524e81657c24,30
3,"Holliday, Jackson",BAL,Home Run,3/28/2025,TOR,93.4,109,23,425,778549,d0e53e13-4e07-3d4e-ac34-3910dc3c58e5,https://baseballsavant.mlb.com/sporty-videos?playId=d0e53e13-4e07-3d4e-ac34-3910dc3c58e5,30
4,"Muncy, Max",ATH,Home Run,3/28/2025,SEA,84.2,108.7,26,430,778541,d085f219-2f8b-302c-b489-e6f17936ee20,https://baseballsavant.mlb.com/sporty-videos?playId=d085f219-2f8b-302c-b489-e6f17936ee20,30
5,"Kelenic, Jarred",ATL,Home Run,3/28/2025,SD,89.4,108.4,23,342,778542,6c09c345-fd59-3898-8186-543306996b01,https://baseballsavant.mlb.com/sporty-videos?playId=6c09c345-fd59-3898-8186-543306996b01,7
6,"Misner, Kameron",TB,Home Run,3/28/2025,COL,97.4,108.1,22,351,778560,13087bfb-203e-3376-acb3-984c81a6036c,https://baseballsavant.mlb.com/sporty-videos?playId=13087bfb-203e-3376-acb3-984c81a6036c,20
7,"Heim, Jonah",TEX,Home Run,3/28/2025,BOS,93.5,107.4,27,417,778550,dcd1546d-2993-3efb-be6b-bc37a5031ea7,https://baseballsavant.mlb.com/sporty-videos?playId=dcd1546d-2993-3efb-be6b-bc37a5031ea7,30
8,"SuÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡rez, Eugenio",AZ,Home Run,3/28/2025,CHC,87.3,107.4,33,436,778543,266218ae-4ace-3e0d-b374-e4cfc8393859,https://baseballsavant.mlb.com/sporty-videos?playId=266218ae-4ace-3e0d-b374-e4cfc8393859,30
9,"Soto, Juan",NYM,Home Run,3/28/2025,HOU,95.9,107.3,27,390,778518,b41bc114-e99c-357c-8aaf-6b8a8377ffab,https://baseballsavant.mlb.com/sporty-videos?playId=b41bc114-e99c-357c-8aaf-6b8a8377ffab,30
10,"Freeman, Freddie",LAD,Home Run,3/28/2025,DET,83.5,105.9,26,411,778544,46753b06-e971-35d7-9cf3-612908db2a0f,https://baseballsavant.mlb.com/sporty-videos?playId=46753b06-e971-35d7-9cf3-612908db2a0f,29
11,"Dingler, Dillon",DET,Home Run,3/28/2025,LAD,90.6,104.7,27,410,778544,cb0e0403-e4f4-3fc0-b284-00d2832e00df,https://baseballsavant.mlb.com/sporty-videos?playId=cb0e0403-e4f4-3fc0-b284-00d2832e00df,22
12,"Lopez, Otto",MIA,Home Run,3/28/2025,PIT,95.6,103.4,30,418,778548,7a35255a-fe89-3fc8-8a7c-119f8dd3dbf6,https://baseballsavant.mlb.com/sporty-videos?playId=7a35255a-fe89-3fc8-8a7c-119f8dd3dbf6,27
13,"UrÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â­as, Luis",ATH,Home Run,3/28/2025,SEA,84.6,103.1,24,396,778541,d18351a0-bb21-34b2-92ad-62c41fa655e9,https://baseballsavant.mlb.com/sporty-videos?playId=d18351a0-bb21-34b2-92ad-62c41fa655e9,30
14,"Rooker, Brent",ATH,Home Run,3/28/2025,SEA,94.3,102.8,30,394,778541,bebdee94-1a28-3df4-b14a-bc565c32de55,https://baseballsavant.mlb.com/sporty-videos?playId=bebdee94-1a28-3df4-b14a-bc565c32de55,8
15,"SuÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡rez, Eugenio",AZ,Home Run,3/28/2025,CHC,79.2,102.6,32,418,778543,75fc3d4a-7559-3dd0-b46a-f2d29c673058,https://baseballsavant.mlb.com/sporty-videos?playId=75fc3d4a-7559-3dd0-b46a-f2d29c673058,30
16,"Cronenworth, Jake",SD,Home Run,3/28/2025,ATL,83.2,101.7,34,381,778542,6f714634-abde-3024-8a2e-6cc60271fdb8,https://baseballsavant.mlb.com/sporty-videos?playId=6f714634-abde-3024-8a2e-6cc60271fdb8,29
17,"Torres, Gleyber",DET,Home Run,3/28/2025,LAD,94.4,99.7,22,379,778544,18fd0756-64f3-341b-9556-8be01d20c54a,https://baseballsavant.mlb.com/sporty-videos?playId=18fd0756-64f3-341b-9556-8be01d20c54a,18
18,"Heim, Jonah",TEX,Home Run,3/28/2025,BOS,83.3,98.7,31,360,778550,ade09194-7c0e-3bf4-9ba7-5a731645bf86,https://baseballsavant.mlb.com/sporty-videos?playId=ade09194-7c0e-3bf4-9ba7-5a731645bf86,21
19,"Betts, Mookie",LAD,Home Run,3/28/2025,DET,89.8,96.7,30,376,778544,426c6406-fd32-3fca-85e1-776418570895,https://baseballsavant.mlb.com/sporty-videos?playId=426c6406-fd32-3fca-85e1-776418570895,27
20,"Betts, Mookie",LAD,Home Run,3/28/2025,DET,96.7,95.8,28,378,778544,a3a94d81-bb02-3876-8924-8e7545028a00,https://baseballsavant.mlb.com/sporty-videos?playId=a3a94d81-bb02-3876-8924-8e7545028a00,10
1,"Judge, Aaron",NYY,Home Run,3/29/2025,MIL,88.2,115,30,468,778538,6c81ebe3-824b-35f5-8f30-1e8776e39f82,https://baseballsavant.mlb.com/sporty-videos?playId=6c81ebe3-824b-35f5-8f30-1e8776e39f82,30
2,"Campbell, Kristian",BOS,Home Run,3/29/2025,TEX,92.5,112.2,22,431,778531,c0b77903-eb82-3ef2-8da3-ef0c1ee682fd,https://baseballsavant.mlb.com/sporty-videos?playId=c0b77903-eb82-3ef2-8da3-ef0c1ee682fd,29
3,"Freeman, Freddie",LAD,Home Run,3/29/2025,DET,95.6,111.6,32,418,778533,d1cb65f4-488d-3e9b-a08d-e0977c73ebf9,https://baseballsavant.mlb.com/sporty-videos?playId=d1cb65f4-488d-3e9b-a08d-e0977c73ebf9,30
4,"Cowser, Colton",BAL,Home Run,3/29/2025,TOR,91.6,110.6,22,417,778536,d8653751-06c6-31dc-b847-29e28cf81b10,https://baseballsavant.mlb.com/sporty-videos?playId=d8653751-06c6-31dc-b847-29e28cf81b10,24
5,"Turang, Brice",MIL,Home Run,3/29/2025,NYY,92.4,109.8,20,412,778538,611b1409-6514-3ef5-be47-f2e7e8146734,https://baseballsavant.mlb.com/sporty-videos?playId=611b1409-6514-3ef5-be47-f2e7e8146734,27
6,"Westburg, Jordan",BAL,Home Run,3/29/2025,TOR,84,109.7,24,434,778536,b7c8a553-ad26-35a9-9da4-f94e0bac7fae,https://baseballsavant.mlb.com/sporty-videos?playId=b7c8a553-ad26-35a9-9da4-f94e0bac7fae,30
7,"Chisholm Jr., Jazz",NYY,Home Run,3/29/2025,MIL,90.6,109.5,25,442,778538,47688c41-2bbc-30c7-a15f-e39647ae80a1,https://baseballsavant.mlb.com/sporty-videos?playId=47688c41-2bbc-30c7-a15f-e39647ae80a1,30
8,"Goldschmidt, Paul",NYY,Home Run,3/29/2025,MIL,90.1,109.2,36,413,778538,954eefc3-8c4a-39d5-9d5b-cbd47b1f4c0c,https://baseballsavant.mlb.com/sporty-videos?playId=954eefc3-8c4a-39d5-9d5b-cbd47b1f4c0c,30
9,"Peraza, Oswald",NYY,Home Run,3/29/2025,MIL,84.1,109.2,23,379,778538,3c2f4c6f-58f5-35b2-88f8-cc7afda687fc,https://baseballsavant.mlb.com/sporty-videos?playId=3c2f4c6f-58f5-35b2-88f8-cc7afda687fc,29
10,"Bellinger, Cody",NYY,Home Run,3/29/2025,MIL,90.6,108.3,29,451,778538,7861c3bf-433d-3c68-bcb6-8090fd3e9d3d,https://baseballsavant.mlb.com/sporty-videos?playId=7861c3bf-433d-3c68-bcb6-8090fd3e9d3d,30
11,"Judge, Aaron",NYY,Home Run,3/29/2025,MIL,85.4,107.5,31,425,778538,e8354127-6c13-3ae5-9c3d-60dc178ee22c,https://baseballsavant.mlb.com/sporty-videos?playId=e8354127-6c13-3ae5-9c3d-60dc178ee22c,30
12,"Lowe, Nathaniel",WSH,Home Run,3/29/2025,PHI,84.9,107.4,34,401,778535,120a93d0-81b1-393b-8cba-a7a34af6b111,https://baseballsavant.mlb.com/sporty-videos?playId=120a93d0-81b1-393b-8cba-a7a34af6b111,18
13,"PeÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â±a, Jeremy",HOU,Home Run,3/29/2025,NYM,86.7,106.7,18,363,778530,f18db8d5-0b8f-3ea8-9991-430a83c56964,https://baseballsavant.mlb.com/sporty-videos?playId=f18db8d5-0b8f-3ea8-9991-430a83c56964,6
14,"Westburg, Jordan",BAL,Home Run,3/29/2025,TOR,87.8,105.7,32,402,778536,e5e1f325-f11a-3df6-be98-69d8580dc26c,https://baseballsavant.mlb.com/sporty-videos?playId=e5e1f325-f11a-3df6-be98-69d8580dc26c,11
15,"Smith, Will",LAD,Home Run,3/29/2025,DET,83.4,105.4,27,396,778533,f7b20e6c-faac-3fb3-b520-7a3a641a4b77,https://baseballsavant.mlb.com/sporty-videos?playId=f7b20e6c-faac-3fb3-b520-7a3a641a4b77,30
16,"GimÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©nez, AndrÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â©s",TOR,Home Run,3/29/2025,BAL,95.3,104.8,24,407,778536,29e59ceb-b7db-3c9d-bcc4-7f377fbcc8dc,https://baseballsavant.mlb.com/sporty-videos?playId=29e59ceb-b7db-3c9d-bcc4-7f377fbcc8dc,22
17,"Flores, Wilmer",SF,Home Run,3/29/2025,CIN,93.5,104.7,22,363,778540,5a30d708-c969-3773-946e-3a6b24a0bc0f,https://baseballsavant.mlb.com/sporty-videos?playId=5a30d708-c969-3773-946e-3a6b24a0bc0f,24
18,"SuÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¡rez, Eugenio",AZ,Home Run,3/29/2025,CHC,93.7,104.2,38,407,778532,003838fa-44d5-3279-9c3f-eb191de95095,https://baseballsavant.mlb.com/sporty-videos?playId=003838fa-44d5-3279-9c3f-eb191de95095,29
19,"Garcia, Maikel",KC,Home Run,3/29/2025,CLE,81.2,103.8,27,397,778529,51ed4129-c268-3ea8-9fb1-a78e682c83b5,https://baseballsavant.mlb.com/sporty-videos?playId=51ed4129-c268-3ea8-9fb1-a78e682c83b5,30
20,"Tucker, Kyle",CHC,Home Run,3/29/2025,AZ,86.7,103.6,26,405,778532,450f327b-21c7-3bea-a174-20516241860c,https://baseballsavant.mlb.com/sporty-videos?playId=450f327b-21c7-3bea-a174-20516241860c,30
21,"Encarnacion-Strand, Christian",CIN,Home Run,3/29/2025,SF,96,103.6,25,354,778540,a003d09b-baa3-36a6-9cb2-7c80eacf0047,https://baseballsavant.mlb.com/sporty-videos?playId=a003d09b-baa3-36a6-9cb2-7c80eacf0047,27
22,"GarcÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â­a, Adolis",TEX,Home Run,3/29/2025,BOS,79.8,102.7,29,414,778531,498cb99c-9834-3a62-ba8a-88c334c800dc,https://baseballsavant.mlb.com/sporty-videos?playId=498cb99c-9834-3a62-ba8a-88c334c800dc,30
23,"Wells, Austin",NYY,Home Run,3/29/2025,MIL,91.2,102.3,38,372,778538,3a882183-c8bc-308c-b967-b301becbd74d,https://baseballsavant.mlb.com/sporty-videos?playId=3a882183-c8bc-308c-b967-b301becbd74d,20
24,"Marsh, Brandon",PHI,Home Run,3/29/2025,WSH,83.6,102.3,28,395,778535,7f592315-f7d0-3b03-9686-dd807006d692,https://baseballsavant.mlb.com/sporty-videos?playId=7f592315-f7d0-3b03-9686-dd807006d692,30
25,"Kwan, Steven",CLE,Home Run,3/29/2025,KC,87.9,101.8,27,406,778529,b5ff9371-56a1-34a5-adf8-b417529030e7,https://baseballsavant.mlb.com/sporty-videos?playId=b5ff9371-56a1-34a5-adf8-b417529030e7,30
26,"Stott, Bryson",PHI,Home Run,3/29/2025,WSH,84.7,101.6,23,349,778535,d070df49-0922-35cd-aebd-4541ea38114c,https://baseballsavant.mlb.com/sporty-videos?playId=d070df49-0922-35cd-aebd-4541ea38114c,25
27,"Ruiz, Keibert",WSH,Home Run,3/29/2025,PHI,89.1,101.6,30,414,778535,ba918e78-25e3-38c9-b865-833281964685,https://baseballsavant.mlb.com/sporty-videos?playId=ba918e78-25e3-38c9-b865-833281964685,30
28,"Edman, Tommy",LAD,Home Run,3/29/2025,DET,79.2,101.4,26,397,778533,133c58b8-eefe-3a21-abc8-28c917d5dab3,https://baseballsavant.mlb.com/sporty-videos?playId=133c58b8-eefe-3a21-abc8-28c917d5dab3,6
29,"McLain, Matt",CIN,Home Run,3/29/2025,SF,89.9,99.8,32,382,778540,336703a4-3c36-3b72-bb7f-3185b9e5b96d,https://baseballsavant.mlb.com/sporty-videos?playId=336703a4-3c36-3b72-bb7f-3185b9e5b96d,29
30,"Judge, Aaron",NYY,Home Run,3/29/2025,MIL,88.8,99.4,29,396,778538,52989e88-9cfe-3ee2-82a5-f242f9134fad,https://baseballsavant.mlb.com/sporty-videos?playId=52989e88-9cfe-3ee2-82a5-f242f9134fad,30
31,"Schwarber, Kyle",PHI,Home Run,3/29/2025,WSH,84.9,99.1,34,385,778535,9e4c24f7-b450-3656-b82e-0b12d40a7ec7,https://baseballsavant.mlb.com/sporty-videos?playId=9e4c24f7-b450-3656-b82e-0b12d40a7ec7,12
32,"Shaw, Matt",CHC,Home Run,3/29/2025,AZ,95.1,98.9,25,379,778532,09adf851-27ef-3a27-b6e7-0ab79412d7f8,https://baseballsavant.mlb.com/sporty-videos?playId=09adf851-27ef-3a27-b6e7-0ab79412d7f8,18
33,"Rosario, Amed",WSH,Home Run,3/29/2025,PHI,96.1,98.5,32,373,778535,45fb9569-988c-350b-a5b9-10effe7c515f,https://baseballsavant.mlb.com/sporty-videos?playId=45fb9569-988c-350b-a5b9-10effe7c515f,29
34,"Langeliers, Shea",ATH,Home Run,3/29/2025,SEA,94.1,93.7,31,357,778521,a03333aa-c723-32c8-9856-2686d8e61a46,https://baseballsavant.mlb.com/sporty-videos?playId=a03333aa-c723-32c8-9856-2686d8e61a46,9
35,"Volpe, Anthony",NYY,Home Run,3/29/2025,MIL,88.5,91.8,31,349,778538,6e9b757b-f03f-3594-b99f-6855688cf071,https://baseballsavant.mlb.com/sporty-videos?playId=6e9b757b-f03f-3594-b99f-6855688cf071,10
1,"RodrÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â­guez, Julio",SEA,Home Run,3/30/2025,ATH,82,113.3,33,438,778513,14a1a376-7f30-31e3-b458-681c2528ff85,https://baseballsavant.mlb.com/sporty-videos?playId=14a1a376-7f30-31e3-b458-681c2528ff85,30
2,"Judge, Aaron",NYY,Home Run,3/30/2025,MIL,89.7,113.1,28,410,778523,2d1f27a0-e2c2-3624-8354-0f3bde9faf36,https://baseballsavant.mlb.com/sporty-videos?playId=2d1f27a0-e2c2-3624-8354-0f3bde9faf36,30
3,"Chisholm Jr., Jazz",NYY,Home Run,3/30/2025,MIL,87.1,109.1,22,346,778523,ba397c7b-db50-39f5-83b4-fd77bc8bda93,https://baseballsavant.mlb.com/sporty-videos?playId=ba397c7b-db50-39f5-83b4-fd77bc8bda93,10
4,"Bauers, Jake",MIL,Home Run,3/30/2025,NYY,88.6,108.7,21,331,778523,c480c87a-9dc3-322e-b627-1986b4db5702,https://baseballsavant.mlb.com/sporty-videos?playId=c480c87a-9dc3-322e-b627-1986b4db5702,3
5,"Lowe, Brandon",TB,Home Run,3/30/2025,COL,78.4,108.1,26,409,778524,acf734a1-95ac-3b9a-8cf8-5fd34826aede,https://baseballsavant.mlb.com/sporty-videos?playId=acf734a1-95ac-3b9a-8cf8-5fd34826aede,28
6,"GarcÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â­a, Adolis",TEX,Home Run,3/30/2025,BOS,83.8,108.1,29,431,778516,83c27cbb-44a5-3397-8d3a-b6f7f438feda,https://baseballsavant.mlb.com/sporty-videos?playId=83c27cbb-44a5-3397-8d3a-b6f7f438feda,30
7,"Arias, Gabriel",CLE,Home Run,3/30/2025,KC,90.8,108.1,25,400,778510,7d01d4cd-b71a-33c7-8556-5aa17cf7e5dd,https://baseballsavant.mlb.com/sporty-videos?playId=7d01d4cd-b71a-33c7-8556-5aa17cf7e5dd,30
8,"Lowe, Nathaniel",WSH,Home Run,3/30/2025,PHI,92.4,108,22,421,778526,b1bef9b0-77d0-369b-a527-2a6741aa33f8,https://baseballsavant.mlb.com/sporty-videos?playId=b1bef9b0-77d0-369b-a527-2a6741aa33f8,26
9,"McLain, Matt",CIN,Home Run,3/30/2025,SF,94,107.9,22,402,778522,aa757cf5-7d4a-34db-849f-104942b4de70,https://baseballsavant.mlb.com/sporty-videos?playId=aa757cf5-7d4a-34db-849f-104942b4de70,12
